"county","county_ascii","county_full","state_name","population","age_median","income_household_median","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","highschool_or_less","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","unemployment_rate","poverty","health_uninsured"
"Carroll","Carroll","Carroll County","Ohio",27332,45.5,55267,29667,78.7,127938,706,26.6,10.5,49.7,60.20000076293945,26.5,8.1,5.2,13.3,44.5,5.2,12.3,8.4
"Wyoming","Wyoming","Wyoming County","Pennsylvania",27327,44.7,59415,28347,77.2,167963,799,27.8,7.8,46.4,54.20000171661377,26.2,12.9,6.7,19.6,42.6,5.3,10.4,3.9
"Bradford","Bradford","Bradford County","Florida",27317,39.7,45921,24309,69.3,105963,833,31.3,20.4,40.4,60.80000114440918,29.4,6.3,3.5,9.8,42,6.8,22.2,11.3
"De Soto","De Soto","De Soto Parish","Louisiana",27289,39.3,46006,25566,71.3,114647,635,33.5,17.4,42.6,59.99999809265137,25.1,9.4,5.4,14.8,37.4,10.6,22,9.5
"Montgomery","Montgomery","Montgomery County","North Carolina",27252,43.6,44146,23955,74.8,114818,576,28.7,20.5,34.6,55.099998474121094,29.3,10.6,5,15.6,34.3,4,17.7,13.2
"Henry","Henry","Henry County","Ohio",27208,41.1,59695,31093,77.4,125791,730,23.3,6.5,44.5,51,31.9,11,6.2,17.2,40.8,3.1,8.4,4
"Monroe","Monroe","Monroe County","Georgia",27171,42.9,54754,27473,79.1,162524,704,29.5,14.3,33.3,47.59999942779541,25.6,14.5,12.3,26.8,41.7,7,13.9,12
"Mineral","Mineral","Mineral County","West Virginia",27167,44.5,49936,26545,76,145267,671,27.5,7.8,49.2,57.000000953674316,27.5,9.4,6.1,15.5,38.4,5.6,13.8,6.2
"Carter","Carter","Carter County","Kentucky",27159,41.6,34736,19272,77.4,96493,579,40.6,20.8,40.3,61.099998474121094,26.3,7.3,5.2,12.5,36.9,5.8,25.3,8
"Peach","Peach","Peach County","Georgia",27145,37.9,46636,23739,65.4,132885,698,36,17,29.8,46.79999923706055,32.6,10.9,9.6,20.5,43.8,9.7,22.2,12.9
"Russell","Russell","Russell County","Virginia",27141,45.7,39758,20595,76.1,96314,582,30.6,19.7,38,57.70000076293945,30.1,9.1,3.1,12.2,41.1,6.4,21.1,9.7
"Hardee","Hardee","Hardee County","Florida",27131,35.4,38682,21744,64.9,89588,740,30.8,22.8,49.1,71.89999771118164,17.8,7,3.2,10.2,24.5,6.1,24.1,11.7
"Toombs","Toombs","Toombs County","Georgia",26972,36.4,40175,22909,60.5,92843,598,28.6,19.9,37.5,57.39999961853027,26.4,8.4,7.7,16.1,34.5,9,23.3,18.3
"Edgefield","Edgefield","Edgefield County","South Carolina",26927,42.9,49127,23712,74.1,133857,637,35.9,17.1,36.7,53.80000114440918,29.6,10.2,6.5,16.7,41.3,6.6,16.2,8.9
"Uvalde","Uvalde","Uvalde County","Texas",26920,33.7,41679,21037,73.3,93573,645,25.3,24.2,29.3,53.5,28.6,14,3.9,17.9,30.2,5.3,17.9,17.3
"Logan","Logan","Logan County","Kentucky",26902,40.7,48014,26673,69.7,110050,661,25.1,15.1,44.5,59.60000038146973,24.1,10.3,6.1,16.4,36.6,5,17,7.1
"Orleans","Orleans","Orleans County","Vermont",26901,45.8,49168,26134,78.2,161785,796,32.6,11.7,39.5,51.19999980926514,27.3,13.4,8.1,21.5,44.4,4.2,13.1,3.5
"Cibola","Cibola","Cibola County","New Mexico",26891,37.3,39413,20443,68.7,85503,660,25.8,17,32.2,49.20000076293945,36.6,8.7,5.5,14.2,38.9,13.7,26.1,9.1
"Simpson","Simpson","Simpson County","Mississippi",26888,39.5,43850,21821,79.7,89404,660,34.7,20.3,30.1,50.39999961853027,33.4,12,4.3,16.3,35.2,7.5,19.4,14.1
"Ashe","Ashe","Ashe County","North Carolina",26863,48.3,40962,24071,75.9,153077,634,26.7,14.9,31.8,46.69999885559082,33.7,12.6,7,19.6,38.7,3.6,16.3,12.6
"Mason","Mason","Mason County","West Virginia",26820,44.2,46078,25409,79.5,86631,615,27.3,14,45.5,59.5,26.1,10.1,4.4,14.5,51.9,3.7,15.9,4.7
"White","White","White County","Tennessee",26800,43.2,41998,22788,80,116652,680,33.1,16.8,45.7,62.5,25.2,7.8,4.5,12.3,42,6.5,16.2,11.4
"Bell","Bell","Bell County","Kentucky",26791,41.7,26272,15563,66,65866,522,39.6,30.4,38.5,68.89999961853027,22,4.2,4.9,9.1,29,10,35.5,5.3
"Marlboro","Marlboro","Marlboro County","South Carolina",26753,40.3,33586,19932,62.9,65861,610,31.1,22.8,42.2,65,26.1,5.5,3.4,8.9,34.8,12,26.4,11.9
"Elmore","Elmore","Elmore County","Idaho",26743,32.3,46855,26809,59.8,152842,833,28.9,10.1,26.8,36.89999961853027,44.4,13.8,4.9,18.7,37.4,7.1,15.3,13.8
"Harlan","Harlan","Harlan County","Kentucky",26699,41.3,26478,17709,68.8,57722,528,44.1,27.2,34.6,61.79999923706055,27.4,5.7,5.2,10.9,31.7,11.2,36,5.8
"Decatur","Decatur","Decatur County","Georgia",26682,37.8,41481,24110,57.5,109295,677,24.4,17.5,36.7,54.20000076293945,32,8,5.8,13.8,32.7,5.2,24.3,18.4
"Perry","Perry","Perry County","Kentucky",26624,41.2,33640,21114,75.9,71912,649,32.1,23.1,33,56.10000038146973,29.5,5.8,8.6,14.4,43.7,11.9,26.1,5.2
"Fluvanna","Fluvanna","Fluvanna County","Virginia",26594,43.4,76873,38143,85,236120,1163,29.7,8.9,24.1,33,33,18.8,15.2,34,54.3,2.4,5.5,6.8
"Lewis","Lewis","Lewis County","New York",26572,42.2,54524,29392,80.8,119285,768,26.6,9.9,44.7,54.60000038146973,27.1,10.5,7.9,18.4,45.3,4.8,13.5,5.5
"Decatur","Decatur","Decatur County","Indiana",26562,39.2,57949,30464,69.8,134134,791,23.2,9.1,44,53.10000038146973,26.3,14.2,6.4,20.6,39.3,3.8,11.5,5.9
"Juneau","Juneau","Juneau County","Wisconsin",26478,45.4,53490,27577,76.2,123780,761,24.2,11.6,41.5,53.10000038146973,33.2,9.7,4.1,13.8,40.1,3.4,15.1,6.3
"Gillespie","Gillespie","Gillespie County","Texas",26459,50,59155,28772,72.4,285950,948,28.4,11,29.9,40.89999961853027,26.8,23.1,9.1,32.2,42.8,4.3,9.5,19.4
"Barton","Barton","Barton County","Kansas",26453,39.9,49723,26586,70.3,91407,648,25.4,10.5,32,42.5,36.6,14.6,6.3,20.9,41.2,3.9,15.4,11.7
"Geneva","Geneva","Geneva County","Alabama",26417,43.2,41732,22376,72,100107,625,31.7,19.7,36,55.70000076293945,31.8,7.6,4.9,12.5,45.7,5.4,22,12.6
"Oceana","Oceana","Oceana County","Michigan",26416,43.2,50104,24491,82.6,118725,729,28.5,12.8,36.3,49.09999942779541,31.4,13,6.5,19.5,37.8,5.9,15,9
"Tillamook","Tillamook","Tillamook County","Oregon",26389,48.1,49895,25539,69.3,254383,910,31.3,10.4,28.7,39.10000038146973,39.1,12.9,8.9,21.8,43.1,5.1,13.1,7
"Johnson","Johnson","Johnson County","Arkansas",26372,38.4,38511,20955,70.4,103393,620,29.3,21.1,40.7,61.80000114440918,22.9,9.4,6,15.4,39.2,3.8,22.7,11.1
"Boone","Boone","Boone County","Iowa",26370,41.8,64000,33532,78.1,131064,742,24,6.1,31.5,37.59999990463257,37.1,18.1,7.2,25.3,40.8,2.8,7.6,2.8
"Currituck","Currituck","Currituck County","North Carolina",26363,42.8,69964,35901,82,248630,1151,33.3,9.5,28.8,38.29999923706055,38.3,17.9,5.5,23.4,37.2,4.3,9.5,13.3
"Union","Union","Union County","Oregon",26337,40.2,52171,25785,64.5,183496,818,28,7.3,32.2,39.500000953674316,36,16.6,8,24.6,48.2,5.9,13.9,6.9
"Woodford","Woodford","Woodford County","Kentucky",26318,42.5,63820,31738,70.7,202832,771,26.3,8.9,29.8,38.69999885559082,27.5,20.1,13.7,33.8,44.2,3.8,13,5
"Grayson","Grayson","Grayson County","Kentucky",26247,40.3,38612,23040,72.6,112705,589,27.9,18.5,43,61.5,28,6.4,4.2,10.6,37.9,4.9,25.4,5
"Upson","Upson","Upson County","Georgia",26236,42.1,37640,23152,67.6,95763,639,33.3,17.7,38.4,56.10000228881836,30.5,8.5,4.9,13.4,40.3,5.8,20.9,11.8
"Clay","Clay","Clay County","Indiana",26234,41.5,55637,30251,77.6,100502,670,24.5,8.6,43.8,52.39999961853027,30.6,11.9,5.1,17,37.4,4.1,12.6,4
"King George","King George","King George County","Virginia",26229,37.4,94274,39966,78.8,305390,1208,24.9,6.7,26.5,33.19999980926514,30.7,21.9,14,35.9,57.6,3.1,5.1,5.5
"Charlevoix","Charlevoix","Charlevoix County","Michigan",26188,48.6,55760,29017,80.9,166293,694,30.4,6,29.7,35.70000076293945,33.2,18.1,13,31.1,37.5,4,10.1,6.7
"Sunflower","Sunflower","Sunflower County","Mississippi",26168,35.6,30838,18212,53.6,78660,642,36.6,25.1,32.2,57.30000114440918,27.3,9.7,5.6,15.3,26,13.7,31.7,14.4
"Wasco","Wasco","Wasco County","Oregon",26130,40.8,53105,27985,62.2,212893,842,25,13.6,29.1,42.70000076293945,37.7,12.4,7.2,19.6,44.9,4.5,11.6,7.8
"West Baton Rouge","West Baton Rouge","West Baton Rouge Parish","Louisiana",26101,36.3,65385,32875,73.1,192865,884,28.1,12.8,37.2,50.000000953674316,28,14.9,7.1,22,45,4.5,12.5,8.2
"Montezuma","Montezuma","Montezuma County","Colorado",26031,45.2,49470,26901,72.1,223431,815,26.5,10,29.3,39.29999923706055,31.2,18.8,10.8,29.6,53.2,5.1,15.1,12.1
"Lauderdale","Lauderdale","Lauderdale County","Tennessee",25989,38.3,39896,22263,56.1,83373,650,28.5,22.9,45.4,68.30000114440918,23.4,4.7,3.5,8.2,34.7,8,21.2,9.8
"Cherokee","Cherokee","Cherokee County","Alabama",25903,46.5,41919,23121,77.3,119103,620,26.2,18.4,40.3,58.69999885559082,28.6,6.6,6.1,12.7,42,4.4,13.9,8.6
"St. Francis","St. Francis","St. Francis County","Arkansas",25900,38.8,35348,19988,54.7,63441,633,33.3,18.1,37.6,55.69999885559082,33.9,6.5,3.8,10.3,43.9,6.2,24.9,8.6
"Cass","Cass","Cass County","Nebraska",25888,41.7,71846,36303,81.7,175702,820,24,5.6,29.9,35.49999952316284,36.8,18.7,9,27.7,36.6,3.2,6.8,6.2
"Mille Lacs","Mille Lacs","Mille Lacs County","Minnesota",25865,40.5,56135,28194,75.1,162332,756,33.8,10.2,38.6,48.79999828338623,36.5,10.2,4.5,14.7,39.1,5.9,12.4,5.9
"McNairy","McNairy","McNairy County","Tennessee",25844,43.5,39161,21602,72.7,99488,624,31,17.4,45.4,62.80000114440918,24.6,7.6,5.1,12.7,40.7,11.1,18.8,10.8
"Hart","Hart","Hart County","Georgia",25773,44.1,43204,24057,74.8,135212,720,34.2,18.5,36.9,55.400001525878906,28.9,10,5.7,15.7,34.8,5.6,15.1,12.1
"Lyon","Lyon","Lyon County","Minnesota",25758,35.8,57730,30699,68.4,148898,666,26.8,8,31.7,39.70000076293945,34.2,18.8,7.3,26.1,35.3,3.3,14.1,6
"Stephens","Stephens","Stephens County","Georgia",25750,41.8,47164,23834,69.8,110588,750,32.3,17.9,38.6,56.49999809265137,22.4,11.8,9.3,21.1,34.8,8.3,13.2,13.5
"Somerset","Somerset","Somerset County","Maryland",25729,36.2,37803,20174,65,137348,716,42.2,18.7,39.7,58.400001525878906,27.2,9.7,4.7,14.4,46.2,8.2,21.7,5.8
"Elbert","Elbert","Elbert County","Colorado",25717,46.1,99199,42429,90,463509,1182,28.1,3.3,24.1,27.40000033378601,36.8,24.4,11.4,35.8,46.1,2,4.8,5.3
"Hardin","Hardin","Hardin County","Tennessee",25715,45.3,40682,21631,72.5,123745,592,28.9,18.5,42.1,60.599998474121094,24.4,10.2,4.8,15,33.5,6.4,20.1,11.4
"Audrain","Audrain","Audrain County","Missouri",25644,39.7,44261,23257,68.5,98488,649,25.1,13.8,45.8,59.59999942779541,25.7,9.7,5,14.7,38,4.6,15.1,10.8
"Benton","Benton","Benton County","Iowa",25636,42.6,67729,34887,82.8,156729,640,24.7,5.9,36.9,42.80000162124634,35,15.7,6.4,22.1,39.3,3,8.8,2.2
"Allen","Allen","Allen Parish","Louisiana",25618,38.2,46446,22405,74.5,90701,601,26.1,20.3,44.3,64.5999984741211,24.1,7.9,3.4,11.3,22.3,9.9,14.5,8.5
"Morehouse","Morehouse","Morehouse Parish","Louisiana",25610,39.9,32929,20371,66.8,90240,562,42.7,20.5,42.9,63.400001525878906,23.7,10.6,2.3,12.9,32.3,5.8,28.3,9.2
"Texas","Texas","Texas County","Missouri",25604,43.2,35067,21045,72.4,111225,591,32.6,16.4,38.6,54.99999809265137,31.5,9.7,3.8,13.5,44.3,7.5,25.3,16.1
"Taylor","Taylor","Taylor County","Kentucky",25571,37.6,44522,21871,60.3,120148,643,31.6,12.9,39.2,52.10000038146973,28.3,10.3,9.3,19.6,32.9,5,17.9,4.1
"Posey","Posey","Posey County","Indiana",25560,42.6,64196,31535,81.7,143362,688,31.2,6.6,38.2,44.80000066757202,33.3,15.5,6.4,21.9,40.4,4.1,8.9,4.8
"Franklin","Franklin","Franklin County","Kansas",25558,40,56582,30681,72.3,128056,793,26.4,7.8,37.6,45.39999866485596,34.2,13.3,7.1,20.4,35.2,3.7,9.8,7.3
"Lawrence","Lawrence","Lawrence County","South Dakota",25478,42.1,52641,27320,64.7,205006,761,28.6,6.5,29.6,36.10000038146973,28.9,23.7,11.3,35,40.6,2.6,12.7,9.3
"Hardeman","Hardeman","Hardeman County","Tennessee",25443,40.3,40304,20987,71.2,90043,650,25.1,20.4,46.8,67.19999885559082,21.7,7.3,3.8,11.1,29.9,11.8,17.8,10
"Dickinson","Dickinson","Dickinson County","Michigan",25439,46.7,51645,29516,77.4,103032,665,26.5,5,33.2,38.20000076293945,36.1,17.3,8.4,25.7,50.9,4.6,11.7,4.3
"Cheboygan","Cheboygan","Cheboygan County","Michigan",25418,51.1,48044,24672,82.4,129973,699,33.8,9.9,38,47.89999961853027,31.4,12.7,8,20.7,38.1,7.5,14.9,7.2
"Fannin","Fannin","Fannin County","Georgia",25395,52.1,47997,25062,79,193570,794,28.6,13.4,33.5,46.89999961853027,31.3,13.4,8.3,21.7,45.4,5.3,12.4,13.9
"Tattnall","Tattnall","Tattnall County","Georgia",25382,37.3,40730,19892,67.2,92180,543,19.9,24.2,38.1,62.29999923706055,24.5,7.2,6,13.2,33,4.6,23.2,14
"Adair","Adair","Adair County","Missouri",25369,27.6,41929,20211,60.1,126509,646,44.6,9.9,34.4,44.30000114440918,24.6,14.5,16.5,31,42.5,5.7,23.8,7.9
"Barbour","Barbour","Barbour County","Alabama",25361,40.4,32525,17963,60.9,90398,576,38.5,26.8,35.6,62.39999771118164,26,7.6,4,11.6,30.5,9.2,30.7,11.3
"Shelby","Shelby","Shelby County","Texas",25349,38,42522,22658,73.6,77016,564,26.5,23.6,35,58.60000038146973,27.6,10,3.8,13.8,38.1,7.7,22.6,21.7
"Lamoille","Lamoille","Lamoille County","Vermont",25318,40.8,64003,32179,73.2,227542,956,32.3,7.2,25.6,32.80000019073486,29.1,22.5,15.7,38.2,45.9,3.7,13.6,5
"Salem","Salem","Salem City","Virginia",25317,41.2,57165,29356,63.6,181850,913,26.9,10.8,29,39.80000019073486,32.3,17.3,10.6,27.9,43.9,4.4,9.1,6.4
"Gladwin","Gladwin","Gladwin County","Michigan",25279,50.1,44619,24249,84.9,108356,617,34.8,13,39.3,52.29999923706055,34.2,8,5.5,13.5,36.3,5.9,16.9,9.3
"Prentiss","Prentiss","Prentiss County","Mississippi",25255,39.2,39256,21324,72.7,91840,588,40.5,19.9,34.5,54.39999961853027,33.3,8.1,4.3,12.4,34.9,7.7,21.9,12
"Miller","Miller","Miller County","Missouri",25201,40.7,47171,26846,74.2,134334,677,26.7,12.7,40.6,53.29999828338623,27.3,12.6,6.8,19.4,36.7,4.9,16.9,10.3
"Iosco","Iosco","Iosco County","Michigan",25197,52.9,43678,23828,79.9,92296,652,25.4,11.1,38.3,49.39999961853027,34.8,10,5.9,15.9,36.5,7.2,15.2,6.6
"Brown","Brown","Brown County","Minnesota",25163,42.3,61120,32186,79.2,141611,629,22.6,6.5,36.1,42.599998474121094,35.2,16.9,5.3,22.2,33,1.6,6.9,3.6
"Fayette","Fayette","Fayette County","Texas",25141,47,60189,30069,81.7,182282,809,27.2,13.9,39.1,52.99999809265137,27.3,14.5,5.2,19.7,40.6,3.3,11.9,11
"Cleburne","Cleburne","Cleburne County","Arkansas",25100,49.4,44483,24984,75.2,130194,704,26.9,14.1,42.8,56.89999961853027,27.6,9.3,6.2,15.5,38.2,4.3,14,8.2
"Nicholas","Nicholas","Nicholas County","West Virginia",25078,45.1,40086,22673,79.4,94449,601,35.4,13.1,48,61.10000038146973,23.3,9,6.7,15.7,39.2,7,18.3,5.8
"Routt","Routt","Routt County","Colorado",25072,40.2,77443,37368,71.2,534608,1282,26.9,3.2,20.2,23.40000081062317,26.8,31.3,18.5,49.8,49.7,3.1,10.9,7.3
"Plymouth","Plymouth","Plymouth County","Iowa",25068,40,67297,36509,77.5,163238,660,20.2,6.9,33.9,40.80000162124634,36.1,17.7,5.5,23.2,39.8,1.8,9.1,5
"Jackson","Jackson","Jackson County","Oklahoma",25063,34.1,49703,27002,58.5,107727,737,25.2,14.9,26.9,41.79999923706055,34.8,14.6,8.7,23.3,41.5,5.1,17.3,12.8
"Yates","Yates","Yates County","New York",25011,41,56563,26361,80,136275,775,29.4,13.6,32.6,46.19999885559082,28.5,14.2,11,25.2,45.5,4.1,11.9,17.6
"Marion","Marion","Marion County","Mississippi",24990,40.8,32090,19521,82.3,92270,605,41.5,18.5,39.3,57.79999923706055,29.9,7.9,4.4,12.3,35.2,5.7,25.5,15.3
"Grant","Grant","Grant County","Kentucky",24951,36.3,48714,26185,68.5,128030,727,28,13.4,47.4,60.80000114440918,26.3,8.6,4.3,12.9,39.8,3.6,16.4,4.9
"Randolph","Randolph","Randolph County","Indiana",24926,42.6,48036,26306,76.3,80564,685,27.5,12.5,43.4,55.900001525878906,29.7,8.5,5.9,14.4,32.7,5,14.7,9.4
"Anson","Anson","Anson County","North Carolina",24902,40.9,40213,22474,66.1,90147,754,34,19.3,40.2,59.5,29.2,8.1,3.2,11.3,40.9,8.4,19.5,11.1
"Randolph","Randolph","Randolph County","Missouri",24878,39.4,47740,25739,71.5,102107,622,33.5,13.1,36.3,49.39999961853027,35.5,9.9,5.2,15.1,32.1,5.4,16.4,9.6
"Bremer","Bremer","Bremer County","Iowa",24864,39.8,70395,33610,82.7,165627,661,22.5,3.6,32.9,36.500001430511475,32.8,20.1,10.5,30.6,38.9,2.3,7.4,2.6
"Washington","Washington","Washington County","Missouri",24860,40.8,41483,20390,79.4,90356,588,25.8,23.1,37.4,60.50000190734863,29.7,6.3,3.6,9.9,32.4,7.3,20.1,12.4
"Seminole","Seminole","Seminole County","Oklahoma",24832,38.8,39373,22026,68,75235,649,28.3,15.7,34,49.69999980926514,36,9.7,4.6,14.3,34.9,7.8,20.4,19.4
"Grady","Grady","Grady County","Georgia",24828,40.3,43531,24093,64.3,117614,778,34.8,19.9,39.2,59.10000038146973,27,8.2,5.7,13.9,34.7,4.9,22.4,18.7
"Hickman","Hickman","Hickman County","Tennessee",24813,41.1,43596,22891,80.3,115704,708,31.7,21.4,44.3,65.69999885559082,23.3,7.5,3.4,10.9,36.8,4,18.7,8.5
"Chattooga","Chattooga","Chattooga County","Georgia",24812,39.4,36807,21970,68.2,74344,608,25.7,26.2,40.1,66.29999923706055,24.8,5.3,3.6,8.9,38.7,5.6,19.4,14.2
"Milam","Milam","Milam County","Texas",24770,41.7,47902,26198,71.4,111766,733,26.8,18.6,38.1,56.69999885559082,29.2,9.8,4.3,14.1,36.4,4.7,15.4,13.5
"Washington","Washington","Washington County","Florida",24764,41.5,37022,21452,77.7,106841,717,32.2,18.7,40.1,58.79999923706055,28.6,8.6,3.9,12.5,40.9,8.9,24.1,12.8
"Abbeville","Abbeville","Abbeville County","South Carolina",24627,44.3,38741,21890,75,91403,681,34.5,18.3,34,52.29999923706055,32,11,4.5,15.5,36.4,5.5,18.7,11.1
"Juniata","Juniata","Juniata County","Pennsylvania",24624,42.9,53879,26870,74.5,145719,673,23.3,16.7,48.8,65.5,20,9.2,5.3,14.5,39.8,3.3,10.8,10.9
"Dawson","Dawson","Dawson County","Georgia",24536,43.6,66281,31997,81.5,229224,918,28.3,12.8,29.1,41.90000057220459,27.5,19.5,11.1,30.6,35.3,4,8.6,12.1
"Teller","Teller","Teller County","Colorado",24524,50,66592,35242,82.5,292920,1102,34.4,2.8,23.2,26.000000715255737,36.3,22.9,14.8,37.7,47.4,5.8,8.2,8.6
"Rowan","Rowan","Rowan County","Kentucky",24507,30.6,38230,18303,59.8,119895,652,33.1,15.8,33.4,49.20000171661377,25.7,11.7,13.3,25,43.2,5,27.9,5.3
"Upshur","Upshur","Upshur County","West Virginia",24502,41.7,40322,24107,73.7,119918,699,30.2,14.6,49,63.60000038146973,19.5,9.6,7.3,16.9,45.4,7.1,20.6,7.4
"Todd","Todd","Todd County","Minnesota",24494,43.9,53585,28929,82.6,153454,649,25.8,13,36.7,49.70000076293945,35.2,11,4.1,15.1,37.1,3.4,11.9,8.8
"Otsego","Otsego","Otsego County","Michigan",24490,44.9,54332,26743,78.9,138661,768,34.1,8,33.1,41.099998474121094,35.4,15.5,8.1,23.6,43.5,5.8,13.7,6.7
"Lincoln","Lincoln","Lincoln County","Kentucky",24476,41.3,42919,23142,78.3,101422,651,23.7,20.1,42.7,62.80000114440918,24.2,7.8,5.2,13,40.9,5.5,21.3,9.2
"Aransas","Aransas","Aransas County","Texas",24462,50.6,45137,21631,80.2,153116,1012,35.7,15.5,31.2,46.70000076293945,31.4,13.6,8.3,21.9,39.5,7.5,21.3,20
"Manistee","Manistee","Manistee County","Michigan",24457,49.3,50055,25053,83.4,125878,716,30.2,10.1,35.6,45.69999885559082,34,13.2,7.1,20.3,41.1,6.2,11.5,5.8
"Staunton","Staunton","Staunton City","Virginia",24432,42.8,52611,29164,57.3,170931,861,29.8,10.3,29.8,40.09999942779541,26.5,17.6,15.7,33.3,42.5,3.7,11.1,9.8
"Mingo","Mingo","Mingo County","West Virginia",24290,42.8,32764,20956,73.5,78379,574,37.5,24.5,42.6,67.0999984741211,23,5.5,4.4,9.9,28.2,14.3,28.7,4.5
"Churchill","Churchill","Churchill County","Nevada",24259,39.7,57824,30912,65.4,192461,821,24.6,8.4,31.6,40,41.2,13,5.8,18.8,42.7,6,13.2,11.2
"Waushara","Waushara","Waushara County","Wisconsin",24193,49.2,52810,27300,81.6,145309,671,25.8,13.2,42,55.19999980926514,28.6,10.5,5.8,16.3,39.6,4.3,11.2,7.4
"Crawford","Crawford","Crawford County","Missouri",24154,41.9,44438,22158,71.4,124597,624,31.1,22.1,39.1,61.19999885559082,27.3,7.9,3.7,11.6,34.6,9.7,18.5,16.5
"White","White","White County","Indiana",24149,42,54576,29443,77.5,113519,706,26.1,11.2,41.6,52.79999828338623,30.8,10.8,5.6,16.4,40.9,4,9.2,9.5
"Clarke","Clarke","Clarke County","Alabama",24128,42.5,37404,21613,70.1,110041,555,32.7,19.4,41.8,61.19999885559082,26.6,7.2,5,12.2,28.5,12.2,23.2,9.7
"Butts","Butts","Butts County","Georgia",24090,38.6,43471,22360,69.8,132099,850,32.5,19.4,44.7,64.10000038146973,23.7,8.7,3.5,12.2,39.4,4.8,21.6,11
"Luna","Luna","Luna County","New Mexico",24083,37.1,29360,16620,60.9,90790,562,33,30.2,34.4,64.60000228881836,22.9,7.7,4.8,12.5,36.7,11.8,27.7,8.6
"Ohio","Ohio","Ohio County","Kentucky",24071,40.3,45564,23272,76.1,92512,627,26.6,16.7,43,59.70000076293945,26.7,7.1,6.5,13.6,44.4,8,18.9,5.5
"Hertford","Hertford","Hertford County","North Carolina",24012,42.2,41028,21356,65.8,84904,756,35.1,19.2,32.7,51.900001525878906,33.2,9.1,5.8,14.9,35.2,9.2,21.9,11.4
"Saline","Saline","Saline County","Illinois",23994,42.2,44090,24185,74.5,73719,622,33.7,13.3,27.5,40.80000019073486,40,12.8,6.4,19.2,38.1,7.6,21.1,4.2
"Sabine","Sabine","Sabine Parish","Louisiana",23991,41.1,40336,20945,68.2,92766,583,33.8,14.3,46.6,60.89999866485596,25.8,8.7,4.6,13.3,36.1,9.6,18.6,11.9
"Lee","Lee","Lee County","Virginia",23948,44.9,32888,18053,70.8,88464,558,40.5,23.3,34.5,57.79999923706055,31.1,8.3,2.9,11.2,32.4,9.1,25.5,12.2
"George","George","George County","Mississippi",23917,36.4,47292,25184,81.8,115656,764,30.4,15.7,36.6,52.29999828338623,34,8.6,5.2,13.8,37.9,13.2,17.2,17.9
"Poinsett","Poinsett","Poinsett County","Arkansas",23896,40.1,40921,22119,62.9,79575,603,27.9,19.7,43.1,62.79999923706055,26.2,7.9,3.2,11.1,40.8,5.8,21.4,11.3
"Roscommon","Roscommon","Roscommon County","Michigan",23851,56.2,42054,22948,82,108016,684,34.4,10.1,38.4,48.50000190734863,36.1,9,6.5,15.5,35.8,9.4,16.7,6.7
"Pottawatomie","Pottawatomie","Pottawatomie County","Kansas",23847,35.4,66835,34454,78.7,182623,854,25.5,5.8,29.1,34.90000057220459,31.4,22.2,11.6,33.8,43,2.9,8.1,5.1
"Macon","Macon","Macon County","Tennessee",23842,39.4,37430,23375,74.4,113705,673,30,19.7,45.7,65.4000015258789,24.3,5.8,4.5,10.3,47.9,3.2,17.3,11
"Ouachita","Ouachita","Ouachita County","Arkansas",23830,43,35425,21126,69.1,75320,525,30.7,14,41.6,55.599998474121094,30,8.7,5.8,14.5,36.6,7.8,23.2,7.1
"Page","Page","Page County","Virginia",23788,45.4,51792,25036,71.1,168454,790,29.1,17.4,45.5,62.89999961853027,23.4,9,4.7,13.7,38.4,6.5,15.1,12.2
"Winston","Winston","Winston County","Alabama",23784,45.2,35788,20905,79.4,87090,529,28.3,21.2,38.2,59.400001525878906,27.8,7.3,5.5,12.8,32,7.3,17.6,12.3
"Columbia","Columbia","Columbia County","Arkansas",23776,35.7,36193,19812,70.4,82489,664,31.1,14.1,41.7,55.80000114440918,24.5,12.9,6.7,19.6,35.3,10.9,25,7.1
"Scott","Scott","Scott County","Indiana",23759,41.5,48700,25470,72,101317,789,35.1,16.8,43.5,60.29999923706055,27.7,7,5,12,35.2,5,14.9,8.5
"Dawson","Dawson","Dawson County","Nebraska",23733,35.7,53721,28990,67.3,103784,730,24.7,22,31.6,53.60000038146973,30.6,11.9,3.9,15.8,35.4,3.5,12.7,10.5
"Jerome","Jerome","Jerome County","Idaho",23730,32.7,52921,24582,64.9,164933,772,26.1,22.8,30.6,53.39999961853027,30.5,10.4,5.7,16.1,49.5,3.6,19,18.6
"Cassia","Cassia","Cassia County","Idaho",23690,32.9,52935,25371,70.3,160988,647,20.4,16.4,29.8,46.19999885559082,35.3,13.7,4.9,18.6,35,2.8,14.3,13.5
"Iowa","Iowa","Iowa County","Wisconsin",23618,42.8,64124,35190,73.8,183297,750,22.9,4.8,35.3,40.09999942779541,35.3,15.9,8.7,24.6,43.1,2.8,8.8,3.7
"Jefferson","Jefferson","Jefferson County","Oregon",23607,40.8,53277,26242,68.1,222637,839,30.5,13,30.7,43.70000076293945,37,12.9,6.4,19.3,42.5,8.8,17.9,9.3
"Fairfax","Fairfax","Fairfax City","Virginia",23531,38.2,116979,50560,70,560208,1834,29.3,6,13.4,19.399999618530273,19.8,31.3,29.5,60.8,51.6,4.1,9.3,7.7
